device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4121.0,-97457.46703806872,60.29147632311978,47.857030351585024,48.57942068801974,0.4016222216638812
pixel5g-wifid,org-mozilla-firefox,1,4121.0,-75414.07541899441,60.371817504655496,37.172657713503014,37.564459179783384,0.31078140480167604
pixel5g-wifid,org-mozilla-firefox,2,4121.0,-73616.1026119403,60.42326026119403,36.30509180205051,36.673119247251186,0.30337195886380597
pixel5g-wifid,org-mozilla-firefox,3,4121.0,-72070.32404828226,60.70464531104921,35.7802968837925,36.086016358266406,0.2970018054029712
pixel5g-wifid,org-mozilla-firefox,4,4121.0,-73968.6061452514,60.60864245810056,36.71666497135003,36.96486308737025,0.30482462592458104
pixel5g-wifid,org-mozilla-firefox,5,4121.0,-72482.92451071761,60.455383970177074,35.78988770151599,36.13638651404676,0.2987021319086674
pixel5g-wifid,org-mozilla-firefox,6,4121.0,-68689.76283846873,60.46035667600373,33.93259279801302,34.22520647385975,0.28307051265732963
pixel5g-wifid,org-mozilla-firefox,7,4121.0,-71693.35574229692,60.384877684407094,35.40077997827149,35.70463390452357,0.29544831901400564
pixel5g-wifid,org-mozilla-firefox,8,4121.0,-71614.52186046512,60.68888000000001,35.53339442381299,35.79640796428817,0.29512344458697676
pixel5g-wifid,org-mozilla-firefox,9,4121.0,-75719.61473880598,60.32448134328358,37.259780510101514,37.702921400878374,0.31204053233861945
pixel5g-wifid,org-mozilla-firefox,10,4121.0,-71561.29291044777,60.42563992537313,35.3167479584595,35.64948068802892,0.2949040880839552
pixel5g-wifid,org-mozilla-firefox,11,4121.0,-72220.80112044817,60.395346405228764,35.68904557049001,35.96820444713164,0.29762192141736704
pixel5g-wifid,org-mozilla-firefox,12,4121.0,-73705.77891791044,60.45688059701492,36.41769168592752,36.73935867874928,0.303741514920709
pixel5g-wifid,org-mozilla-firefox,13,4121.0,-95736.87791239515,60.275554520037275,46.722446641494,47.65469182425271,0.3945316738769804
pixel5g-wifid,org-mozilla-firefox,14,4121.0,-76710.74836905871,60.300311276794034,37.809728460803015,38.20813127830788,0.316124994028891
pixel5g-wifid,org-mozilla-firefox,15,4121.0,-73922.98600746269,60.455534514925375,36.484012535815,36.83574682584426,0.3046366253367538
pixel5g-wifid,org-mozilla-firefox,16,4121.0,-73806.54850746269,60.45871641791045,36.517586413477,36.79719217536812,0.30415678639925375
pixel5g-wifid,org-mozilla-firefox,17,4121.0,-71633.78151260504,60.40895051353875,35.389834629058,35.667879954844544,0.2952028136134454
pixel5g-wifid,org-mozilla-firefox,18,4121.0,-68997.07249070633,60.83976208178438,34.354755305396495,34.57963643931483,0.2843369357342008
pixel5g-wifid,org-mozilla-firefox,19,4121.0,-80221.21828358209,60.51799253731343,39.382264543218994,39.91530408796098,0.3305916405466418
pixel5g-wifid,org-mozilla-firefox,20,4121.0,-72167.89964157707,62.976309139784945,37.12209825862851,37.42411897532496,0.29740391442293906
pixel5g-wifid,org-mozilla-firefox,21,4121.0,-73921.63585434173,60.416605042016805,36.54538107697749,36.818319337577734,0.30463106135574236
pixel5g-wifid,org-mozilla-firefox,22,4121.0,-72710.96275605215,60.5022094972067,35.918916164124504,36.2482772070701,0.2996418775176909
pixel5g-wifid,org-mozilla-firefox,23,4121.0,-71436.98596819457,60.322536950420954,35.25336633146248,35.53250379077568,0.29439181917492985
pixel5g-wifid,org-mozilla-firefox,24,4121.0,-71609.96082089552,60.436638059701494,35.35600265728699,35.678742218134964,0.29510464854291046
pixel5g-wifid,org-mozilla-firefox,25,4121.0,-73700.49395348837,60.55502325581396,36.42596466966602,36.744013610749754,0.3037197355823256
pixel5g-wifid,org-mozilla-firefox,26,4121.0,-71848.8078358209,60.445838619402984,35.5003890937345,35.80869996289899,0.2960889370914179
pixel5g-wifid,org-mozilla-firefox,27,4121.0,-74559.34453781512,60.41855742296918,36.7354740704575,37.11781608508913,0.30725905884033616
pixel5g-wifid,org-mozilla-firefox,28,4121.0,-72981.02614379085,60.386862745098036,36.46470946892153,36.6634932093598,0.30349317668440706
pixel5g-wifid,org-mozilla-firefox,29,4121.0,-75108.37313432836,60.381138992537316,37.09270957996501,37.41311456575813,0.3095216056865672
