device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,org-mozilla-firefox,0,4434.0,-90049.44262295082,66.40765,52.85172682300802,53.25706134704185,0.399279228590164
pixel5g-wifid,org-mozilla-firefox,1,4434.0,-73462.55632582323,63.5856273830156,41.22185266676398,41.52411388798955,0.32573297474870017
pixel5g-wifid,org-mozilla-firefox,2,4434.0,-73254.5326939843,63.143323452484736,40.83921675479701,41.09990901351727,0.3248105979651264
pixel5g-wifid,org-mozilla-firefox,3,4434.0,-77443.09254498714,63.657196229648676,43.49969047226402,43.813912077793034,0.343382672344473
pixel5g-wifid,org-mozilla-firefox,4,4434.0,-74375.2202072539,63.830471502590676,41.83590770498401,42.20191158727538,0.3297797263989637
pixel5g-wifid,org-mozilla-firefox,5,4434.0,-76966.71779141104,63.131255039439075,42.82411714034699,43.17002643506688,0.3412704266871166
pixel5g-wifid,org-mozilla-firefox,6,4434.0,-78065.23177083333,63.454487847222225,43.589789228112,44.047857058696785,0.346141237671875
pixel5g-wifid,org-mozilla-firefox,7,4434.0,-71859.50481189851,62.90418897637795,39.873544698504006,40.165873088990864,0.318625044335958
pixel5g-wifid,org-mozilla-firefox,8,4434.0,-77604.12816041848,62.97810636442895,43.11651584481598,43.51343693102357,0.3440967042632956
pixel5g-wifid,org-mozilla-firefox,9,4434.0,-71504.49913644214,63.85003713298791,40.68576666526501,40.86909898545078,0.31928983582383424
pixel5g-wifid,org-mozilla-firefox,10,4434.0,-92345.21155480033,64.029209855565,52.18639169907301,52.6535184984942,0.4094586680339848
pixel5g-wifid,org-mozilla-firefox,11,4434.0,-75673.89177489177,63.403152380952385,42.281862926070005,42.6334628706613,0.3355380361298701
pixel5g-wifid,org-mozilla-firefox,12,4434.0,-76281.20222793487,63.80804198800343,42.94322617700401,43.24687302947524,0.33823085067866326
pixel5g-wifid,org-mozilla-firefox,13,4434.0,-70546.41329739444,62.88057142857143,39.06799141453497,39.34026931504289,0.31280279656064697
pixel5g-wifid,org-mozilla-firefox,14,4434.0,-71219.50087873462,62.78618014059754,39.43696673783699,39.72288030288675,0.3157872668963093
pixel5g-wifid,org-mozilla-firefox,15,4434.0,-75062.37916310846,64.09086421861657,42.45950770415398,42.746915811675755,0.3328265892092229
pixel5g-wifid,org-mozilla-firefox,16,4434.0,-76497.59546643417,63.306120313862245,42.69717067392298,43.04969854646533,0.33919033829816914
pixel5g-wifid,org-mozilla-firefox,17,4434.0,-78078.85627705627,63.2621038961039,43.49139774607504,43.886944404868714,0.34620164873246756
pixel5g-wifid,org-mozilla-firefox,18,4434.0,-74390.56686798965,63.39857722174288,41.65303032359401,41.89858358013242,0.3298477734926661
pixel5g-wifid,org-mozilla-firefox,19,4434.0,-74833.44434782608,63.383486086956516,41.850734335884006,42.13873226829018,0.3318114922382609
pixel5g-wifid,org-mozilla-firefox,20,4434.0,-77801.89136013687,63.84432848588536,43.834399834698004,44.142475128190476,0.3449735862908469
pixel5g-wifid,org-mozilla-firefox,21,4434.0,-74426.00348735832,63.2375135135135,41.53279759605301,41.84660128129844,0.33000489946294687
pixel5g-wifid,org-mozilla-firefox,22,4434.0,-74750.89469103569,63.21643516100958,41.72282908125301,42.018004750136946,0.33144546706005223
pixel5g-wifid,org-mozilla-firefox,23,4434.0,-93722.27029360968,63.089651986183085,52.20852260006102,52.60548481004636,0.4155645464818653
pixel5g-wifid,org-mozilla-firefox,24,4434.0,-72839.85475352113,63.04535035211267,40.525337878746,40.80265700496853,0.3229719159771127
pixel5g-wifid,org-mozilla-firefox,25,4434.0,-74123.9256993007,63.08196503496503,41.317288750347,41.571582731851755,0.3286654865506993
pixel5g-wifid,org-mozilla-firefox,26,4434.0,-73520.45791245792,66.29349747474747,42.988376588052,43.26307243417035,0.32598971038383845
pixel5g-wifid,org-mozilla-firefox,27,4434.0,-74145.86533449174,63.28811815812338,41.43396746061299,41.70224192932679,0.32876276689313644
pixel5g-wifid,org-mozilla-firefox,28,4434.0,-74243.63755458515,63.18500349344978,41.43249338174701,41.72003328332204,0.32919628891703057
pixel5g-wifid,org-mozilla-firefox,29,4434.0,-72933.92820069204,63.584936851211076,40.889693610327015,41.22466435147247,0.3233890376418685
