device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W),trail_nr,browser,notification_status,frequency,distribution
pixel5g-wifid,com-android-chrome,0,4348.0,-87390.38090990187,62.87342818911686,47.33589263171,47.94846036882901,0.3799733761962532,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,1,4348.0,-89747.91176470589,62.956083778966125,48.69799053736001,49.28801270801893,0.3902239203529411,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,2,4348.0,-85750.16934046346,63.0461871657754,46.58204423767599,47.16485248271669,0.3728417362923351,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,3,4348.0,-86439.24375,62.850302678571424,46.92285163246997,47.41156664689192,0.3758378318249999,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,4,4348.0,-74482.19802867384,62.96959946236559,40.90273529397,41.04699837675276,0.325945735609319,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,5,4348.0,-86035.94364937388,62.83642397137746,46.61593183660399,47.14097908923297,0.3740842829874776,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,6,4348.0,-90096.99642857142,62.82604107142858,48.82491860558397,49.38100509512593,0.3917417404714285,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,7,4348.0,-85767.57805530776,62.9959687778769,46.458477523466,47.07374002863206,0.3729174293844781,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,8,4348.0,-83989.02406417113,63.00362477718361,45.56568289789202,46.15381480201096,0.365184276631016,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,9,4348.0,-92078.95814781834,63.06297150489759,50.03792107809,50.61702720736744,0.4003593100267141,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,10,4348.0,-86293.5370205174,62.87237644959858,46.78726095905999,47.32489343278085,0.3752042989652096,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,11,4348.0,-84346.5057983943,62.97624353256022,45.76422717847599,46.32678760155358,0.3667386072114184,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,12,4348.0,-87518.51067615658,63.04445729537367,47.53704037512401,48.15689386431083,0.3805304844199288,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,13,4348.0,-88102.36452762924,62.971255793226376,47.75864524765999,48.3789434424557,0.3830690809661319,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,14,4348.0,-92099.50936663694,62.81601516503122,49.826145150870026,50.503784950167,0.4004486667261374,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,15,4348.0,-87286.07371225578,63.18572468916519,47.54361667512198,48.1189420715791,0.3795198485008881,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,16,4348.0,-92720.79322638146,63.03899108734402,50.356729662532,50.952920180949626,0.4031500089483066,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,17,4348.0,-91787.63846838824,62.94541406945681,49.788795565641976,50.40659923320391,0.399092652060552,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,18,4348.0,-86491.71989295272,62.89952185548617,46.82129175936801,47.47269126946658,0.3760659980945584,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,19,4348.0,-89024.51517857143,62.88200892857142,48.11716206384599,48.81099752934164,0.3870785919964286,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,20,4348.0,-86785.56696428571,62.86255982142858,46.95436593429605,47.58114693654026,0.3773436451607142,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,21,4348.0,-91399.05501330968,63.15428571428572,49.776917207917975,50.3859431267956,0.3974030911978705,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,22,4348.0,-87777.7971530249,63.07172330960854,47.75273101979604,48.26941478342649,0.3816578620213523,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,23,4348.0,-87769.49155555555,63.15505333333333,47.801935494418,48.35300212122362,0.3816217492835555,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,24,4348.0,-96573.00713012478,62.59711853832442,51.76814457556601,52.84644339214935,0.4198994350017825,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,25,4348.0,-86789.11111111111,63.137788444444446,47.225861713258,47.77214694084623,0.3773590551111111,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,26,4348.0,-95491.16168717048,63.872369068541296,52.51783889474802,53.20274527439581,0.4151955710158172,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,27,4348.0,-88442.96899911427,63.35867847652791,48.33804375093399,48.88284606285225,0.3845500292081488,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,28,4348.0,-91474.3235031278,62.79072207327971,49.44887358017598,50.0837976752886,0.3977303585915996,trial2,chrome,off,low,even
pixel5g-wifid,com-android-chrome,29,4348.0,-95911.27361853833,62.87748217468806,52.03562515044802,52.58483356226755,0.4170222176934046,trial2,chrome,off,low,even
