trail_nr browser notification_status frequency distribution Energy_trapz(J)
trial1 chrome off idle " " 46.088979572880014
trial1 chrome off idle " " 47.10957503688001
trial1 chrome off idle " " 46.748118816
trial1 chrome off idle " " 44.90893410552
trial1 chrome off idle " " 47.02214864375999
trial1 chrome off idle " " 44.147858876640015
trial1 chrome off idle " " 48.502653590880016
trial1 chrome off idle " " 47.73313713168
trial1 chrome off idle " " 35.07298739424
trial1 chrome off idle " " 47.29237793208004
trial1 chrome off idle " " 46.751835307680025
trial1 chrome off idle " " 47.44400531616
trial1 chrome off idle " " 47.76748390944
trial1 chrome off idle " " 47.09695465584
trial1 chrome off idle " " 46.4097705624
trial1 chrome off idle " " 47.162256078239984
trial1 chrome off idle " " 49.77955014912003
trial1 chrome off idle " " 45.91427883552
trial1 chrome off idle " " 46.71460799495999
trial1 chrome off idle " " 46.514596083839976
trial1 chrome off idle " " 46.85382862632
trial1 chrome off idle " " 46.73581086384003
trial1 chrome off idle " " 47.44277319383999
trial1 chrome off idle " " 45.32885561879999
trial1 chrome off idle " " 44.37217124135999
trial1 chrome off idle " " 45.97115036112001
trial1 chrome off idle " " 45.40231010592
trial1 chrome off idle " " 44.83223678448002
trial1 chrome off idle " " 46.158934330800015
trial1 chrome off idle " " 47.65903642224001
trial2 chrome off low even 47.33589263171
trial2 chrome off low even 48.69799053736001
trial2 chrome off low even 46.58204423767599
trial2 chrome off low even 46.92285163246997
trial2 chrome off low even 40.90273529397
trial2 chrome off low even 46.61593183660399
trial2 chrome off low even 48.82491860558397
trial2 chrome off low even 46.458477523466
trial2 chrome off low even 45.56568289789202
trial2 chrome off low even 50.03792107809
trial2 chrome off low even 46.78726095905999
trial2 chrome off low even 45.76422717847599
trial2 chrome off low even 47.53704037512401
trial2 chrome off low even 47.75864524765999
trial2 chrome off low even 49.826145150870026
trial2 chrome off low even 47.54361667512198
trial2 chrome off low even 50.356729662532
trial2 chrome off low even 49.788795565641976
trial2 chrome off low even 46.82129175936801
trial2 chrome off low even 48.11716206384599
trial2 chrome off low even 46.95436593429605
trial2 chrome off low even 49.776917207917975
trial2 chrome off low even 47.75273101979604
trial2 chrome off low even 47.801935494418
trial2 chrome off low even 51.76814457556601
trial2 chrome off low even 47.225861713258
trial2 chrome off low even 52.51783889474802
trial2 chrome off low even 48.33804375093399
trial2 chrome off low even 49.44887358017598
trial2 chrome off low even 52.03562515044802
trial3 chrome off low burst 47.43344813921999
trial3 chrome off low burst 46.103559544185
trial3 chrome off low burst 49.07505546157496
trial3 chrome off low burst 48.245787191745
trial3 chrome off low burst 44.981540513910005
trial3 chrome off low burst 48.922229784285
trial3 chrome off low burst 48.34178915279999
trial3 chrome off low burst 49.77557051824502
trial3 chrome off low burst 36.08063367265499
trial3 chrome off low burst 47.895771035970014
trial3 chrome off low burst 46.52021239866001
trial3 chrome off low burst 47.201851749194994
trial3 chrome off low burst 46.71746410831502
trial3 chrome off low burst 47.666942918595005
trial3 chrome off low burst 47.82122567079001
trial3 chrome off low burst 46.27578396441
trial3 chrome off low burst 47.64734208234
trial3 chrome off low burst 48.06797624557501
trial3 chrome off low burst 47.97437580506998
trial3 chrome off low burst 46.57414477072498
trial3 chrome off low burst 48.07679732212499
trial3 chrome off low burst 46.98342015724498
trial3 chrome off low burst 49.28506509926999
trial3 chrome off low burst 48.71836790534998
trial3 chrome off low burst 46.09358589049499
trial3 chrome off low burst 45.28503640732501
trial3 chrome off low burst 45.611984574584994
trial3 chrome off low burst 31.836825668505
trial3 chrome off low burst 45.22196013406501
trial3 chrome off low burst 47.69099456121002
trial4 chrome off high even 59.35887268137649
trial4 chrome off high even 51.963998603121006
trial4 chrome off high even 66.669378644284
trial4 chrome off high even 60.102233343267
trial4 chrome off high even 55.30804493517649
trial4 chrome off high even 52.083382474537984
trial4 chrome off high even 58.77254633038653
trial4 chrome off high even 53.64144352193299
trial4 chrome off high even 55.66202544241052
trial4 chrome off high even 53.76734862934402
trial4 chrome off high even 56.78272968610749
trial4 chrome off high even 58.00494773143848
trial4 chrome off high even 60.00935515817701
trial4 chrome off high even 53.88528819293998
trial4 chrome off high even 56.01515282083652
trial4 chrome off high even 63.27281429148695
trial4 chrome off high even 57.68319263253851
trial4 chrome off high even 54.831784988066
trial4 chrome off high even 59.680647239647456
trial4 chrome off high even 60.6743320895045
trial4 chrome off high even 56.2622146850765
trial4 chrome off high even 57.578488356508
trial4 chrome off high even 57.25080434416853
trial4 chrome off high even 62.3082201131005
trial4 chrome off high even 53.57004222382651
trial4 chrome off high even 60.82479644996901
trial4 chrome off high even 60.777682548687
trial4 chrome off high even 55.44256532453602
trial4 chrome off high even 59.41438139108352
trial4 chrome off high even 57.36128088123001
trial5 chrome off high burst 57.23387840814004
trial5 chrome off high burst 54.4901156338
trial5 chrome off high burst 54.25590379337101
trial5 chrome off high burst 54.9502230855455
trial5 chrome off high burst 54.88040765576751
trial5 chrome off high burst 55.237850045893
trial5 chrome off high burst 56.40131975011349
trial5 chrome off high burst 57.27044568355503
trial5 chrome off high burst 55.83760741863648
trial5 chrome off high burst 54.853386810799016
trial5 chrome off high burst 59.95822618406097
trial5 chrome off high burst 51.8840413146205
trial5 chrome off high burst 55.75077822796099
trial5 chrome off high burst 56.68777487688252
trial5 chrome off high burst 53.57433817747201
trial5 chrome off high burst 56.751926628242536
trial5 chrome off high burst 53.88274742975848
trial5 chrome off high burst 57.15959248377199
trial5 chrome off high burst 62.776967338801015
trial5 chrome off high burst 59.217041725168514
trial5 chrome off high burst 54.9949483543685
trial5 chrome off high burst 54.402734338456
trial5 chrome off high burst 54.00183420422499
trial5 chrome off high burst 54.8600352692115
trial5 chrome off high burst 55.30480112695752
trial5 chrome off high burst 53.947192880475
trial5 chrome off high burst 53.98549964326151
trial5 chrome off high burst 56.0178143925605
trial5 chrome off high burst 55.96603386301649
trial5 chrome off high burst 55.15002030460101
trial6 chrome on idle " " 47.247344238094
trial6 chrome on idle " " 47.36176723787601
trial6 chrome on idle " " 48.392242108028
trial6 chrome on idle " " 47.29540066296499
trial6 chrome on idle " " 49.25312663207299
trial6 chrome on idle " " 48.39283181496398
trial6 chrome on idle " " 46.309590385604
trial6 chrome on idle " " 47.78953919084803
trial6 chrome on idle " " 48.86377099294598
